rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,block,0.75,0.003524497412211393,1.0125294049374747,0.0,0.17900000281666534,-0.30973559081136115,-0.30973559081136115,0.006813521919761929,0.0,197,False,0.045454545454545456
1,block,0.75,0.0012392534951636942,0.7288640911483414,0.1,0.19434722249854705,-0.0016937572910516562,-0.001719317925540742,0.00790263629200853,0.0,210,False,0.04265402843601896
2,block,0.75,0.0005017555562468372,0.8470808759291019,0.0,0.1741835326499416,0.2315142970005708,0.2315142970005708,0.005879439557883074,0.0,223,False,0.04484304932735426
3,block,0.75,0.5967921166387101,1.296601459439864,0.0,0.3592625280600211,-0.23314283361607008,-0.22706022836403278,0.05981717754934651,0.0,21,False,0.2916666666666667
4,block,0.75,0.0007918286198379532,0.7588480503182855,0.0,0.16060396379899697,-0.06779067825165039,-0.07389582894208749,0.0062641688124397705,0.0,213,False,0.04205607476635514
5,block,0.75,0.0008099559062512044,1.001022497907011,0.1,0.1879020306374362,0.155625836377859,0.14908798837190546,0.007372882019583036,0.0,211,False,0.04245283018867924
6,block,0.75,0.0007740546507154383,1.0946330966084392,0.1,0.17372539643223694,-0.5431317264735424,-0.5405992938421429,0.0066969952370126455,0.0,205,False,0.04878048780487805
7,block,0.75,0.0006198890708491141,0.7619453080674341,0.2,0.15552976330849852,-0.11492761137329532,-0.10693522223504633,0.006259393538160199,0.0,221,False,0.03587443946188341
8,block,0.75,0.6360250229009088,1.1576518640741438,0.0,0.10508346115057154,-0.35666688394443186,-0.35666688394443186,0.009505085623206063,0.0,17,False,0.22727272727272727
9,block,0.75,0.4826821388052038,1.539325819695376,0.0,0.21550752418802688,-0.27725071407888086,-0.27725071407888086,0.01839331751323233,0.0,29,False,0.18181818181818182
